Domain,DNA,AA,GC,L_DNA,L_AA
Viral,0.9875,0.981808,0.43007256,0.0008311801,0.0004788868
Viral,0.9605,0.981824,0.34919849,0.0006572512,0.0003221414
Viral,0.9605,1.14519,0.36026686,3.37597e-05,1.62568e-05
Viral,1.004,1.0251,0.48742454,4.97512e-05,3.35306e-05
Viral,0.9605,0.955164,0.37323022,0.0032912361,0.0013901047
Viral,0.8825,0.898339,0.38732832,0.005191316,0.0029458564
Viral,0.936,0.94355,0.35215289,0.0018842886,0.0008605948
Viral,0.9265,0.963762,0.3059258,0.0009012272,0.0003374092
Viral,0.9895,1.00035,0.45178248,0.0001523317,9.52703e-05
Viral,0.9825,0.958803,0.53782228,0.0001174458,9.56603e-05
Viral,0.8385,0.816475,0.44062088,0.0044514297,0.0027961738
Viral,0.979,1.0037,0.39967832,0.0001867171,0.0001048684
Viral,0.955,0.92967,0.60683495,0.0013730376,0.0012499088
Viral,0.9795,0.984379,0.49526841,0.0002908993,0.0001995257
Viral,0.911,0.863755,0.50455023,0.0036436737,0.0024926295
Viral,0.9085,0.876494,0.42771136,0.004057024,0.0024636681
Viral,0.9805,0.958005,0.55148642,0.0001161695,9.84046e-05
Viral,1.028,1.32389,0.4591961,2.05461e-05,8.5115e-06
Viral,0.9795,1.21985,0.37413925,3.27087e-05,1.21334e-05
Viral,0.9935,0.989474,0.57090826,0.0001099381,9.05061e-05
Viral,0.9535,0.920787,0.62257873,0.0013087715,0.0011948139
Viral,0.849,0.797497,0.61942418,0.0042818052,0.0036685537
Viral,0.984,0.977724,0.44592248,0.0009801584,0.000585984
Viral,0.874,0.901105,0.30385593,0.0037117437,0.0014356991
Viral,0.9655,0.940502,0.4518315,0.0001366406,8.08523e-05
Viral,0.985,0.964963,0.51221722,0.0008562309,0.000604609
Viral,0.976,0.947379,0.55250248,0.0008570317,0.0006792483
Viral,0.9605,0.935698,0.51485436,0.0012913536,0.0009151603
Viral,0.983,0.969731,0.474306,0.0010358407,0.0006618631
Viral,0.9875,0.975538,0.46523076,0.0008540036,0.0005298861
Viral,0.9855,0.967853,0.50504276,0.0008163649,0.0005797849
Viral,1.0015,1.30814,0.39880059,1.66922e-05,8.9294e-06
Viral,0.9995,1.06588,0.42363636,6.88208e-05,3.83923e-05
Viral,0.9585,0.976669,0.49553123,0.0005236137,0.000320832
Viral,0.9625,0.938321,0.48637346,0.003506883,0.0025709743
Viral,0.9785,0.976801,0.41740484,0.001028358,0.0005892298
Viral,0.983,1.01384,0.44224598,0.0001403944,8.67031e-05
Viral,0.803,0.733253,0.75966559,0.0037717555,0.0039692283
Viral,0.9945,1.00469,0.44378781,0.000177858,0.0001038932
Viral,0.923,0.887961,0.48158211,0.0037210033,0.0025499532
Viral,0.9775,0.953819,0.61491359,0.0001839142,0.0001653404
Viral,1.0595,1.9573,0.52678571,8.4087e-06,2.9115e-06
Viral,1.0085,1.0456,0.49460766,6.72942e-05,4.64859e-05
Viral,0.9405,1.01592,0.38194444,0.0001045075,6.50273e-05
Viral,0.976,0.968068,0.50631313,0.0009910196,0.0006192638
Viral,0.899,0.929944,0.27000518,0.0036180974,0.0014808198
Viral,0.99,1.00537,0.4671267,0.0001305593,8.16881e-05
Viral,0.9835,0.966214,0.51162594,0.0008890146,0.0006385993
Viral,0.963,0.928447,0.48831358,0.0008555052,0.00056676
Viral,0.9345,0.97163,0.40384615,0.0001600647,8.94613e-05
Viral,0.9795,0.95042,0.55210449,0.000862137,0.0006646492
Viral,0.9825,0.992617,0.45112279,0.0002997834,0.0001765683
Viral,1.0135,1.03503,0.47864974,8.67392e-05,5.27406e-05
Viral,0.962,0.975591,0.54146264,0.000158438,0.0001240924
Viral,0.9875,0.972188,0.57942257,0.0002383702,0.0001872808
Viral,0.9745,0.986256,0.50820215,0.0001510304,0.0001095211
Viral,0.9175,0.918092,0.54106533,9.53731e-05,7.4709e-05
Viral,1.013,1.02187,0.52115438,8.93169e-05,6.19487e-05
Viral,0.9265,0.914535,0.53820375,0.0002240305,0.0001597264
Viral,0.989,0.991299,0.42687938,0.000207063,0.0001173918
Viral,0.9925,1.00914,0.40928402,0.0001590386,9.24981e-05
Viral,1.005,0.994176,0.50101032,0.0002229294,0.0001427034
Viral,0.9965,0.994505,0.48546056,0.0002874457,0.0001964053
Viral,0.9425,0.974458,0.38724727,0.0002091902,0.0001101062
Viral,0.991,1.00778,0.40613677,0.0002210274,0.0001137838
Viral,0.9975,1.005,0.47926682,0.0001665714,0.0001099669
Viral,0.9925,1.00114,0.47827136,0.0002073133,0.0001355293
Viral,0.9475,0.941262,0.59732664,0.0001198233,9.82375e-05
Viral,0.992,0.996782,0.51957671,0.0001891946,0.0001315173
Viral,1.0595,1.5055,0.55629139,7.5578e-06,5.2239e-06
Viral,0.94,0.915073,0.5321821,0.0002231796,0.000155603
